file_path,dataset,ts2i_transformation_name,ts2i_transformation_pretty_name,window_len,stride,number_of_train_images,number_of_test_images,train_ts2i_transformation_wall_time_s,test_ts2i_transformation_wall_time_s,train_ts2i_transformation_time_per_image_ms,test_ts2i_transformation_time_per_image_ms,train_ts2i_transformation_throughput_images_per_sec,test_ts2i_transformation_throughput_images_per_sec,test_timeseries_length,n_workers
224_LTDB_id_9_Medical_tr_4456_1st_4556.csv,LTDB,recurrence_plot,RP,25,25,178,3821,0.9894121279940009,12.993992602918297,5.558495101089893,3.4006785142418994,179.90480909192905,294.05896376621365,95544,15
224_LTDB_id_9_Medical_tr_4456_1st_4556.csv,LTDB,ricker_wavelet_transform,RWT,25,25,178,3821,1.2006759298965335,17.74871709384024,6.745370392677154,4.645045038953217,148.24982792429168,215.28316552671248,95544,15
224_LTDB_id_9_Medical_tr_4456_1st_4556.csv,LTDB,state_grid,SG,25,25,178,3821,0.9697153570596129,11.98955110902898,5.447839084604567,3.137804529973562,183.55901935979912,318.69416671676026,95544,15
224_LTDB_id_9_Medical_tr_4456_1st_4556.csv,LTDB,spiral,SPIRAL,25,25,178,3821,0.9934786988887936,13.24018988898024,5.581341004993222,3.4651111983722167,179.16841115878285,288.59102717100785,95544,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,gramian_angular_difference_field,GADF,63,63,396,1190,96.59191842796281,100.06110638589598,243.91898592919904,84.08496334949243,4.0997218653994585,11.892732780813379,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,gramian_angular_summation_field,GASF,63,63,396,1190,96.60902872495353,100.04886826011352,243.96219374988266,84.07467921017943,4.098995769095395,11.894187517505555,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,line_plot,LP,63,63,396,1190,3.1567112281918526,8.863594516878948,7.971493000484477,7.448398753679788,125.44701474858272,134.2570441070925,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,markov_transition_field,MTF,63,63,396,1190,58.24538387404755,62.010393597884104,147.08430271224128,52.10957445200345,6.798822046676322,19.19033134536667,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,morlet_wavelet_transform,MWT,63,63,396,1190,2.893547629006207,6.213138082996011,7.306938457086382,5.221124439492446,136.8562231463965,191.52962385574008,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,random_noise,RN,63,63,396,1190,2.0041553480550647,4.552707015071064,5.060998353674406,3.825804214345432,197.58947348283093,261.38295217783195,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,recurrence_plot,RP,63,63,396,1190,2.4021062199026346,4.288635276025161,6.065924797733926,3.60389518993711,164.8553243478347,277.47754784662607,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,ricker_wavelet_transform,RWT,63,63,396,1190,2.2893925798125565,7.2435092001687735,5.781294393466052,6.08698252115023,172.97164474623327,164.28501256991197,75000,15
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,MGAB,state_grid,SG,63,63,396,1190,1.5216487380675972,4.42060584994033,3.842547318352518,3.7147948318826303,260.24403010572354,269.1938707939915,75000,15
